,,Duplicates,enginebStandard,enginebEntity,enginebAttribute,relationshipTo,DataType,MS_DataType,Description
JournalTransactionLine,ValueDate,#N/A,GL,GeneralLedgerEntries,JournalTransactionLineValueDate,,DATE,Date,Effective date from which interest is charged. To be reported when the date differs from the transaction date.
AssetTransactionsAssetTransactionAssetTransactionValuations,AcquisitionAndProductionCostOnTransaction,#N/A,FA,SourceDocuments,AssetTransactionsAssetTransactionAssetTransactionValuationsAcquisitionAndProductionCostOnTransaction,,NUMERIC,Decimal,Costs of acquistion and/or production of related asset transaction in the headers default currency at date of transaction.
AssetTransactionsAssetTransactionAssetTransactionValuations,AssetTransactionAmount,#N/A,FA,SourceDocuments,AssetTransactionsAssetTransactionAssetTransactionValuationsAssetTransactionAmount,,NUMERIC,Decimal,"Net Amount of related asset transaction in the headers default currency, for instance the net sales revenue."
AssetTransactionsAssetTransactionAssetTransactionValuations,AssetValuationType,#N/A,FA,SourceDocuments,AssetTransactionsAssetTransactionAssetTransactionValuationsAssetValuationType,,TEXT,String,"Describes the purpose for the reporting; commercial, tax in country 1, tax in country 2 etc."
AssetTransactionsAssetTransactionAssetTransactionValuations,BookValueOnTransaction,#N/A,FA,SourceDocuments,AssetTransactionsAssetTransactionAssetTransactionValuationsBookValueOnTransaction,,NUMERIC,Decimal,Bookvalue of related asset transaction in the headers default currency at date of transaction.
AssetTransactionsAssetTransactionAssetTransactionValuations,Other…,#N/A,FA,SourceDocuments,AssetTransactionsAssetTransactionAssetTransactionValuationsOther…,,TEXT,String,Represents space to allow individual Revenue Bodies to add further elements
AssetTransactionsAssetTransactionAssetTransactionValuationsTaxInformationTotalsTaxAmount,PostalCode,#N/A,FA,SourceDocuments,AssetTransactionsAssetTransactionAssetTransactionValuationsTaxInformationTotalsTaxAmountPostalCode,,TEXT,String,Post Code or Zip Code
AssetTransactionsAssetTransactionAssetTransactionValuationsTaxInformationTotalsTaxAmount,Country,#N/A,FA,SourceDocuments,AssetTransactionsAssetTransactionAssetTransactionValuationsTaxInformationTotalsTaxAmountCountry,,TEXT,String,TWO-letter country code according to ISO 3166-1 alpha 2 standard. Example NL for the Netherlands
AssetTransactionsAssetTransactionAssetTransactionValuationsTaxInformationTotalsTaxAmount,Region,#N/A,FA,SourceDocuments,AssetTransactionsAssetTransactionAssetTransactionValuationsTaxInformationTotalsTaxAmountRegion,,TEXT,String,Country specific code to indicate regions / provinces within the tax authorit. Preferably described according to ISO 3166-2. Example GB-KEN for Kent county in the United Kingdom.
AssetTransactionsAssetTransactionAssetTransactionValuationsTaxInformationTotalsTaxAmount,AdditionalAddressDetail,additionalAddressDetail,FA,SourceDocuments,AssetTransactionsAssetTransactionAssetTransactionValuationsTaxInformationTotalsTaxAmountAdditionalAddressDetail,,TEXT,String,Address lines
AssetTransactionsAssetTransactionAssetTransactionValuationsTaxInformationTotals,AddressType,#N/A,FA,SourceDocuments,AssetTransactionsAssetTransactionAssetTransactionValuationsTaxInformationTotalsAddressType,,TEXT,String,"Field to differentiate between multiple addresses. To indicate the type of address. Choose from the predefined enumeration. (ex; StreetAddress, PostalAddress, BillingAddress)"
AssetTransactionsAssetTransactionAssetTransactionValuationsTaxInformationTotals,Building,#N/A,FA,SourceDocuments,AssetTransactionsAssetTransactionAssetTransactionValuationsTaxInformationTotalsBuilding,,TEXT,String,Building Address detail
AssetTransactionsAssetTransactionAssetTransactionValuationsTaxInformationTotals,City,#N/A,FA,SourceDocuments,AssetTransactionsAssetTransactionAssetTransactionValuationsTaxInformationTotalsCity,,TEXT,String,City or main Town
AssetTransactionsAssetTransactionAssetTransactionValuationsTaxInformationTotals,Number,#N/A,FA,SourceDocuments,AssetTransactionsAssetTransactionAssetTransactionValuationsTaxInformationTotalsNumber,,TEXT,String,Number of the building
AssetTransactionsAssetTransactionAssetTransactionValuationsTaxInformationTotals,StreetName,#N/A,FA,SourceDocuments,AssetTransactionsAssetTransactionAssetTransactionValuationsTaxInformationTotalsStreetName,,TEXT,String,Address information of the supplier of the asset
AssetTransactionsAssetTransactionAssetTransactionValuationsTaxInformationTotals,SupplierID,supplierId,FA,SourceDocuments,AssetTransactionsAssetTransactionAssetTransactionValuationsTaxInformationTotalsSupplierID,,TEXT,String,Unique code for the supplier
AssetTransactionsAssetTransactionAssetTransactionValuationsTaxInformationTotals,SupplierName,supplierName,FA,SourceDocuments,AssetTransactionsAssetTransactionAssetTransactionValuationsTaxInformationTotalsSupplierName,,TEXT,String,Name of the supplier of the asset
AssetTransactionsAssetTransactionSupplierPostalAddress,AssetID,#N/A,FA,SourceDocuments,AssetTransactionsAssetTransactionSupplierPostalAddressAssetID,,TEXT,String,Unique identifier of the asset
AssetTransactionsAssetTransactionSupplierPostalAddress,AssetTransactionDate,#N/A,FA,SourceDocuments,AssetTransactionsAssetTransactionSupplierPostalAddressAssetTransactionDate,,DATE,Date,"Recording date of the transaction type (e.g assets, date of the addition of the asset)"
AssetTransactionsAssetTransactionSupplierPostalAddress,AssetTransactionID,#N/A,FA,SourceDocuments,AssetTransactionsAssetTransactionSupplierPostalAddressAssetTransactionID,,TEXT,String,Unique Identification of the transaction
AssetTransactionsAssetTransactionSupplierPostalAddress,AssetTransactionType,#N/A,FA,SourceDocuments,AssetTransactionsAssetTransactionSupplierPostalAddressAssetTransactionType,,TEXT,String,Code for the type of transaction
AssetTransactionsAssetTransactionSupplierPostalAddress,Description,description,FA,SourceDocuments,AssetTransactionsAssetTransactionSupplierPostalAddressDescription,,TEXT,String,Description of the type of transaction
AssetTransactionsAssetTransactionSupplierPostalAddress,Other…,#N/A,FA,SourceDocuments,AssetTransactionsAssetTransactionSupplierPostalAddressOther…,,TEXT,String,Represents space to allow individual Revenue Bodies to add further elements
AssetTransactionsAssetTransactionSupplierPostalAddress,TransactionID,transactionId,FA,SourceDocuments,AssetTransactionsAssetTransactionSupplierPostalAddressTransactionID,,TEXT,String,"Cross-reference to GL pposting in the journal. It can contain many different levels to identify the transaction. It could include cost centres such as company, division, region, group and branch/department."
MovementOfGoodsStockMovementLineTaxInformaationTaxAmount,CurrencyAmount,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementLineTaxInformaationTaxAmountCurrencyAmount,,NUMERIC,Decimal,Amount in foreign currency
MovementOfGoodsStockMovementLineShipFromAddress,Country,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementLineShipFromAddressCountry,,TEXT,String,TWO-letter country code according to ISO 3166-1 alpha 2 standard. Example NL for the Netherlands
MovementOfGoodsStockMovementLineShipToAddress,Country,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementLineShipToAddressCountry,,TEXT,String,TWO-letter country code according to ISO 3166-1 alpha 2 standard. Example NL for the Netherlands
MovementOfGoodsStockMovementLineTaxInformaationTaxAmount,Amount,amount,IV,SourceDocuments,MovementOfGoodsStockMovementLineTaxInformaationTaxAmountAmount,,NUMERIC,Decimal,In the headers default currency.
MovementOfGoodsStockMovementLineShipFrom,DeliveryDate,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementLineShipFromDeliveryDate,,DATE,Date,Date goods are delivered
MovementOfGoodsStockMovementLineShipTo,DeliveryDate,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementLineShipToDeliveryDate,,DATE,Date,Date goods are delivered
MovementOfGoodsStockMovementLineShipFrom,DeliveryID,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementLineShipFromDeliveryID,,TEXT,String,Identification of the delivery
MovementOfGoodsStockMovementLineShipTo,DeliveryID,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementLineShipToDeliveryID,,TEXT,String,Identification of the delivery
MovementOfGoodsStockMovementLineTaxInformaationTaxAmount,ExchangeRate,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementLineTaxInformaationTaxAmountExchangeRate,,NUMERIC,Decimal,The exchage rate used. Currency amount x ExchangeRate = amount.
MovementOfGoodsStockMovementLineTaxInformaationTaxAmount,CurrencyCode,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementLineTaxInformaationTaxAmountCurrencyCode,,TEXT,String,Three letter Currency Code according to (ISO 4217) standard. Example EUR for Euro's or USD for American Dollar.
MovementOfGoodsStockMovementLineShipFromAddress,Region,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementLineShipFromAddressRegion,,TEXT,String,Country specific code to indicate regions / provinces within the tax authorit. Preferably described according to ISO 3166-2. Example GB-KEN for Kent county in the United Kingdom.
MovementOfGoodsStockMovementLineShipToAddress,Region,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementLineShipToAddressRegion,,TEXT,String,Country specific code to indicate regions / provinces within the tax authorit. Preferably described according to ISO 3166-2. Example GB-KEN for Kent county in the United Kingdom.
MovementOfGoodsStockMovementLine,CustomerID,customerId,IV,SourceDocuments,MovementOfGoodsStockMovementLineCustomerID,,TEXT,String,Unique code for the customer
MovementOfGoodsStockMovementLine,AccountID,accountId,IV,SourceDocuments,MovementOfGoodsStockMovementLineAccountID,,TEXT,String,General Ledger Account code. Can be including sub-account id.
MovementOfGoodsStockMovementLineShipFromAddress,AdditionalAddressDetail,additionalAddressDetail,IV,SourceDocuments,MovementOfGoodsStockMovementLineShipFromAddressAdditionalAddressDetail,,TEXT,String,Address lines
MovementOfGoodsStockMovementLineShipToAddress,AdditionalAddressDetail,additionalAddressDetail,IV,SourceDocuments,MovementOfGoodsStockMovementLineShipToAddressAdditionalAddressDetail,,TEXT,String,Address lines
MovementOfGoodsStockMovementLineShipFromAddress,AddressType,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementLineShipFromAddressAddressType,,TEXT,String,"Field to differentiate between multiple addresses. To indicate the type of address. Choose from the predefined enumeration. (ex; StreetAddress, PostalAddress, BillingAddress)"
MovementOfGoodsStockMovementLineShipToAddress,AddressType,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementLineShipToAddressAddressType,,TEXT,String,"Field to differentiate between multiple addresses. To indicate the type of address. Choose from the predefined enumeration. (ex; StreetAddress, PostalAddress, BillingAddress)"
MovementOfGoodsStockMovementLine,BookValue,bookValue,IV,SourceDocuments,MovementOfGoodsStockMovementLineBookValue,,NUMERIC,Decimal,Value of the transaction line as registered in the genearl ledger in the headers default currency.
MovementOfGoodsStockMovementLineShipFromAddress,Building,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementLineShipFromAddressBuilding,,TEXT,String,Building Address detail
MovementOfGoodsStockMovementLineShipToAddress,Building,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementLineShipToAddressBuilding,,TEXT,String,Building Address detail
MovementOfGoodsStockMovementLineShipFromAddress,City,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementLineShipFromAddressCity,,TEXT,String,City or main Town
MovementOfGoodsStockMovementLineShipToAddress,City,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementLineShipToAddressCity,,TEXT,String,City or main Town
MovementOfGoodsStockMovementDocumentReference,DocumentLine,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementDocumentReferenceDocumentLine,,TEXT,String,Line number of the document
MovementOfGoodsStockMovementDocumentReference,DocumentNumber,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementDocumentReferenceDocumentNumber,,TEXT,String,Reference number of document
MovementOfGoodsStockMovementDocumentReference,DocumentType,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementDocumentReferenceDocumentType,,TEXT,String,Type of documents selected. For use where the data has been restricted by reference to particular transaction types.
MovementOfGoodsStockMovementLine,LineNumber,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementLineLineNumber,,TEXT,String,Number of the movementline
MovementOfGoodsStockMovementLineShipFrom,LocationID,locationId,IV,SourceDocuments,MovementOfGoodsStockMovementLineShipFromLocationID,,TEXT,String,Location of goods in warehouse
MovementOfGoodsStockMovementLineShipTo,LocationID,locationId,IV,SourceDocuments,MovementOfGoodsStockMovementLineShipToLocationID,,TEXT,String,Location of goods in warehouse
MovementOfGoodsStockMovementLine,MovementComments,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementLineMovementComments,,TEXT,String,A reason for the movement
MovementOfGoodsStockMovement,MovementDate,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementMovementDate,,DATE,Date,Document Date
MovementOfGoodsStockMovement,MovementPostimeTime,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementMovementPostimeTime,,DATE,Date,Time of posting of the movement
MovementOfGoodsStockMovement,MovementPostingDate,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementMovementPostingDate,,DATE,Date,Date of posting of the movement if different to Movement Date
MovementOfGoodsStockMovement,MovementReference,movementReference,IV,SourceDocuments,MovementOfGoodsStockMovementMovementReference,,TEXT,String,Unique reference to the movement
MovementOfGoodsStockMovementLine,MovementSubType,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementLineMovementSubType,,TEXT,String,"Identify the type of the movement on line/acticle level. A movement (type) production contains f.i use of components, getting finished product, efficiencyloss as movementsubtypes. Predescribed TABLE is possible."
MovementOfGoodsStockMovement,MovementType,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementMovementType,,TEXT,String,"The movement type expresses the type of the process for the underlying lines. E.g production, sales, purchase. Predescribed TABLE is possible."
MovementOfGoodsStockMovementLineShipFromAddress,Number,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementLineShipFromAddressNumber,,TEXT,String,Number of the building
MovementOfGoodsStockMovementLineShipToAddress,Number,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementLineShipToAddressNumber,,TEXT,String,Number of the building
MovementOfGoodsStockMovementLine,Other…,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementLineOther…,,TEXT,String,Represents space to allow individual Revenue Bodies to add further elements
MovementOfGoodsStockMovementLineShipFromAddress,PostalCode,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementLineShipFromAddressPostalCode,,TEXT,String,Post Code or Zip Code
MovementOfGoodsStockMovementLineShipToAddress,PostalCode,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementLineShipToAddressPostalCode,,TEXT,String,Post Code or Zip Code
MovementOfGoodsStockMovementLine,ProductCode,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementLineProductCode,,TEXT,String,Product code
MovementOfGoodsStockMovementLine,ProductCode,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementLineProductCode,,TEXT,String,Product Code
MovementOfGoodsStockMovementLine,Quantity,quantity,IV,SourceDocuments,MovementOfGoodsStockMovementLineQuantity,,TEXT,String,Quantity of goods
MovementOfGoodsStockMovementLine,Quantity,quantity,IV,SourceDocuments,MovementOfGoodsStockMovementLineQuantity,,TEXT,String,Quantity of goods
MovementOfGoodsStockMovement,SourceID,sourceId,IV,SourceDocuments,MovementOfGoodsStockMovementSourceID,,TEXT,String,Details of person or application that entered the transaction
MovementOfGoodsStockMovementLine,StockAccountNo,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementLineStockAccountNo,,TEXT,String,"Stock batch, lot, serial identification. Not used when there is exactly 1 PhysicalStock entry per ProductCode"
MovementOfGoodsStockMovementLineShipFromAddress,StreetName,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementLineShipFromAddressStreetName,,TEXT,String,Address information of the supplier of the asset
MovementOfGoodsStockMovementLineShipToAddress,StreetName,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementLineShipToAddressStreetName,,TEXT,String,Address information of the supplier of the asset
MovementOfGoodsStockMovementLine,SupplierID,supplierId,IV,SourceDocuments,MovementOfGoodsStockMovementLineSupplierID,,TEXT,String,Unique code for the supplier
MovementOfGoodsStockMovement,SystemID,systemId,IV,SourceDocuments,MovementOfGoodsStockMovementSystemID,,TEXT,String,Unique number created by the system for the document
MovementOfGoodsStockMovementLineTaxInformaation,TaxBase,taxBase,IV,SourceDocuments,MovementOfGoodsStockMovementLineTaxInformaationTaxBase,,NUMERIC,Decimal,"The base on which the tax is calculated. This can be an amount, or a quantity, eg, litres."
MovementOfGoodsStockMovementLineTaxInformation,TaxBaseDescription,taxBaseDescription,IV,SourceDocuments,MovementOfGoodsStockMovementLineTaxInformationTaxBaseDescription,,TEXT,String,Description of the value in the TaxBase. Eg Litres for excises on alcholic bevarages.
MovementOfGoodsStockMovementLineTaxInformaation,TaxCode,taxCode,IV,SourceDocuments,MovementOfGoodsStockMovementLineTaxInformaationTaxCode,,TEXT,String,Tax code for lookup in tables
MovementOfGoodsStockMovementLineTaxInformaation,TaxDeclarationPeriod,taxDeclarationPeriod,IV,SourceDocuments,MovementOfGoodsStockMovementLineTaxInformaationTaxDeclarationPeriod,,DATE,Date,The identification of the declaration/return in which the taxamount is reported to the revenue bidy.
MovementOfGoodsStockMovementLineTaxInformaation,TaxExemptionReason,taxExemptionReason,IV,SourceDocuments,MovementOfGoodsStockMovementLineTaxInformaationTaxExemptionReason,,TEXT,String,Tax exemption or reduction reason or rationale
MovementOfGoodsStockMovementLineTaxInformaation,TaxPercentage,taxPercentage,IV,SourceDocuments,MovementOfGoodsStockMovementLineTaxInformaationTaxPercentage,,NUMERIC,Decimal,Tax percentage
MovementOfGoodsStockMovement,TaxPointDate,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementTaxPointDate,,DATE,Date,Date of supply of goods
MovementOfGoodsStockMovementLineTaxInformaation,TaxType,taxType,IV,SourceDocuments,MovementOfGoodsStockMovementLineTaxInformaationTaxType,,TEXT,String,Tax type for look-up in tables
MovementOfGoodsStockMovementLine,TransactionID,transactionId,IV,SourceDocuments,MovementOfGoodsStockMovementLineTransactionID,,TEXT,String,"Cross-reference to GL pposting in the journal. It can contain many different levels to identify the transaction. It could include cost centres such as company, division, region, group and branch/department."
MovementOfGoodsStockMovementLineShipFrom,UCR,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementLineShipFromUCR,,TEXT,String,Unique consignment reference number
MovementOfGoodsStockMovementLineShipTo,UCR,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementLineShipToUCR,,TEXT,String,Unique consignment reference number
MovementOfGoodsStockMovementLine,UnitOfMeasure,unitOfMeasure,IV,SourceDocuments,MovementOfGoodsStockMovementLineUnitOfMeasure,,TEXT,String,Quantity unit of measure e.g pack of 12
MovementOfGoodsStockMovementLine,UOMToUOMPhysicalStockConversionFactor,uomToUOMPhysicalStockConversionFactor,IV,SourceDocuments,MovementOfGoodsStockMovementLineUOMToUOMPhysicalStockConversionFactor,,NUMERIC,Decimal,Conversion factor of the UOM to UOM Physical Stock
MovementOfGoodsStockMovementLineShipFrom,WarehouseID,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementLineShipFromWarehouseID,,TEXT,String,"Warehouse where goods held - also to identify work in progress, or stock in transit"
MovementOfGoodsStockMovementLineShipTo,WarehouseID,#N/A,IV,SourceDocuments,MovementOfGoodsStockMovementLineShipToWarehouseID,,TEXT,String,"Warehouse where goods held - also to identify work in progress, or stock in transit"
PaymentsPaymentLineAnalysisAnalysisAmount,CurrencyAmount,#N/A,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentLineAnalysisAnalysisAmountCurrencyAmount,,NUMERIC,Decimal,Amount in foreign currency
PaymentsPaymentLineAnalysisAnalysisAmount,Amount,amount,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentLineAnalysisAnalysisAmountAmount,,NUMERIC,Decimal,In the headers default currency
PaymentsPaymentDocumentTotalsTaxInformationTotalsTaxAmount,CurrencyAmount,#N/A,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentDocumentTotalsTaxInformationTotalsTaxAmountCurrencyAmount,,NUMERIC,Decimal,Amount in foreign currency
PaymentsPaymentLineAnalysisAnalysisAmount,ExchangeRate,#N/A,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentLineAnalysisAnalysisAmountExchangeRate,,NUMERIC,Decimal,The exchage rate used. Currency amount x ExchangeRate = amount.
PaymentsPaymentSettlementSettlementAmount,CurrencyAmount,#N/A,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentSettlementSettlementAmountCurrencyAmount,,NUMERIC,Decimal,Amount in foreign currency
Payments,TotalCredit,#N/A,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsTotalCredit,,NUMERIC,Decimal,The total of all credit amounts in the headers default currency.
Payments,TotalDebit,#N/A,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsTotalDebit,,NUMERIC,Decimal,The total of all debit amounts in the headers default currency.
PaymentsPaymentLineAnalysisAnalysisAmount,CurrencyCode,#N/A,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentLineAnalysisAnalysisAmountCurrencyCode,,TEXT,String,Three letter Currency Code according to (ISO 4217) standard. Example EUR for Euro's or USD for American Dollar.
PaymentsPaymentLineAnalysis,AnalysisID,#N/A,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentLineAnalysisAnalysisID,,TEXT,String,"Value of the analysisID f.i, which cost centre applies"
PaymentsPaymentDocumentTotalsTaxInformationTotalsTaxAmount,Amount,amount,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentDocumentTotalsTaxInformationTotalsTaxAmountAmount,,NUMERIC,Decimal,In the headers default currency
PaymentsPaymentLineAnalysis,AnalysisType,#N/A,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentLineAnalysisAnalysisType,,TEXT,String,"Analysis code identifier; cost centre, cost unit, cost type project etc. Refer to the MasterFile Analysis Type Table."
PaymentsPaymentSettlementSettlementAmount,Amount,amount,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentSettlementSettlementAmountAmount,,NUMERIC,Decimal,In the headers default currency
PaymentsPaymentLinePaymentLineAmount,CurrencyAmount,#N/A,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentLinePaymentLineAmountCurrencyAmount,,NUMERIC,Decimal,Amount in foreign currency
PaymentsPaymentLinePaymentLineAmount,Amount,amount,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentLinePaymentLineAmountAmount,,NUMERIC,Decimal,In the headers default currency
PaymentsPaymentLinePaymentLineAmount,ExchangeRate,#N/A,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentLinePaymentLineAmountExchangeRate,,NUMERIC,Decimal,The exchage rate used. Currency amount x ExchangeRate = amount.
PaymentsPaymentDocumentTotalsTaxInformationTotalsTaxAmount,ExchangeRate,#N/A,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentDocumentTotalsTaxInformationTotalsTaxAmountExchangeRate,,NUMERIC,Decimal,The exchange rate used. CurrencyAmount x EchangeRate = Amount
PaymentsPaymentLinePaymentLineAmount,CurrencyCode,#N/A,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentLinePaymentLineAmountCurrencyCode,,TEXT,String,Three letter Currency Code according to (ISO 4217) standard. Example EUR for Euro's or USD for American Dollar.
PaymentsPaymentSettlementSettlementAmount,ExchangeRate,#N/A,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentSettlementSettlementAmountExchangeRate,,NUMERIC,Decimal,The exchange rate used. CurrencyAmount x EchangeRate = Amount
PaymentsPaymentDocumentTotals,GrossTotal,#N/A,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentDocumentTotalsGrossTotal,,NUMERIC,Decimal,Total amount including tax in the headers default currency
PaymentsPaymentLineTaxInformationTaxAmount,CurrencyAmount,#N/A,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentLineTaxInformationTaxAmountCurrencyAmount,,NUMERIC,Decimal,Amount in foreign currency
PaymentsPaymentLineTaxInformationTaxAmount,Amount,amount,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentLineTaxInformationTaxAmountAmount,,NUMERIC,Decimal,In the headers default currency
PaymentsPaymentDocumentTotalsTaxInformationTotalsTaxAmount,CurrencyCode,#N/A,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentDocumentTotalsTaxInformationTotalsTaxAmountCurrencyCode,,TEXT,String,Three-letter currency code according to ISO 4217 standard. Example EUR for Euros or  USD for American Dollar
PaymentsPaymentLineTaxInformationTaxAmount,ExchangeRate,#N/A,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentLineTaxInformationTaxAmountExchangeRate,,NUMERIC,Decimal,The exchage rate used. Currency amount x ExchangeRate = amount.
PaymentsPaymentSettlementSettlementAmount,CurrencyCode,#N/A,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentSettlementSettlementAmountCurrencyCode,,TEXT,String,Three-letter currency code according to ISO 4217 standard. Example EUR for Euros or  USD for American Dollar
PaymentsPaymentDocumentTotals,NetTotal,#N/A,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentDocumentTotalsNetTotal,,NUMERIC,Decimal,Total amount axcluding tax in the headers default currency.
PaymentsPaymentDocumentTotalsTaxInformationTotals,TaxBaseDescription,taxBaseDescription,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentDocumentTotalsTaxInformationTotalsTaxBaseDescription,,TEXT,String,"Description of the value in the TaxBase, Eg, Litres for excises on alcoholic bevarages."
PaymentsPaymentLineTaxInformationTaxAmount,CurrencyCode,#N/A,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentLineTaxInformationTaxAmountCurrencyCode,,TEXT,String,Three letter Currency Code according to (ISO 4217) standard. Example EUR for Euro's or USD for American Dollar.
PaymentsPaymentLineTaxInformation,TaxBaseDescription,taxBaseDescription,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentLineTaxInformationTaxBaseDescription,,TEXT,String,Description of the value in the TaxBase. Eg Litres for excises on alcholic bevarages.
PaymentsPaymentLineTaxInformation,TaxCode,taxCode,"AP, AR, GL,  The Tax model allocates the source document to either customerID, supplier ID or AccountID dependent on accounting entry.",SourceDocuments,PaymentsPaymentLineTaxInformationTaxCode,,TEXT,String,Tax Code for lookup in tables
