BusinessArea,Entity,Sub Entity,Attributes,Keys,Data Type,Length,Description,
Property & Equipment,PropertyLocation,PropertyLocationPartyPayment,PropertyId,FK,int32,,The unique identifier of a Property.,
Property & Equipment,PropertyLocation,PropertyLocationPartyPayment,PropertyLocationId,FK,int32,,The unique identifier of a Property Location.,
Property & Equipment,PropertyLocation,PropertyLocationPartyPayment,PartyId,FK,int32,,The unique identifier of a Party.,
Property & Equipment,PropertyLocation,PropertyLocationPartyPayment,PeriodStartDate,,date,,The period start date that the party had an interest in the property location.,
Property & Equipment,PropertyLocation,PropertyLocationPartyPayment,PaymentId,PK,int32,,The unique identifier of a Payment.,
Property & Equipment,PropertyLocation,PropertyLocationPartyPayment,AmountAppliedToPropertyLocationParty,,decimal,,The amount of the associated payment applied to the property location party.,
Property & Equipment,PropertyLocation,PropertyLocationPartyPayment,AmountAppliedToAssetMaintenance,,decimal,,The amount of the associated payment applied to the property location party.,
Property & Equipment,PropertyLocation,PropertyLocationPartyPayment,AssetMaintenanceId,,int32,,The unique identifier of an Asset Maintenance.,
Property & Equipment,PropertyLocation,PropertyLocationStatus,PropertyLocationStatusId,PK,int32,,The unique identifier of a Facility Floorplan Location Status.,
Property & Equipment,PropertyLocation,PropertyLocationStatus,PropertyId,FK,int32,,The unique identifier of a Property.,
Property & Equipment,PropertyLocation,PropertyLocationStatus,PropertyLocationId,FK,int32,,The unique identifier of a Property Location.,
Property & Equipment,PropertyLocation,PropertyLocationStatus,PeriodStartTimestamp,,datetime,,The period start timestamp of the property location status.,
Property & Equipment,PropertyLocation,PropertyLocationStatus,PeriodEndTimestamp,,datetime,,The period end timestamp of the property location status.,
Property & Equipment,PropertyLocation,PropertyLocationStatus,PropertyLocationStatusNote,,string,1024,"A note, comment or additional information regarding the property location status.",
Property & Equipment,PropertyLocation,PropertyLocationStatusType,PropertyLocationStatusTypeId,PK,,,The unique identifier of a Property Location Status ype.,
Property & Equipment,PropertyLocation,PropertyLocationStatusType,PropertyLocationStatusId,FK,,,The unique identifier of a Property Location Status.,
Property & Equipment,PropertyLocation,PropertyLocationStatusType,PropertyLocationStatusName,,,,The name of the Property Location Status.,
Property & Equipment,PropertyLocation,PropertyLocationStatusType,PropertyLocationStatusDescription,,,,The description of the Property Location Status.,
Property & Equipment,PropertyLocation,PropertyLocationFunction,PropertyLocationFunctionId,PK,int33,,The identifier of the Property Location Function.,
Property & Equipment,PropertyLocation,PropertyLocationFunction,PropertyLocationFunctionName,,string,128,The name of the Property Location Function.,
Property & Equipment,PropertyLocation,PropertyLocationFunction,PropertyLocationFunctionDescription,,string,512,The description of the Property Location Function.,
Property & Equipment,Title,,TitleNumber ,,double,, Describes a title to an interest or tenure interest which is registered at H.M. Land Registry in England and Wales or the Land Register of Scotland. Title number(s) out of which this lease is granted. Leave blank if not registered. This should meet the requirements of LR2.1 (see https://www.gov.uk/government/publications/prescribed-clauses-leases),
Property & Equipment,Title,,TitleId,PK,int32,,,
Property & Equipment,Title,,TitleEditionDate,,date,,,
Property & Equipment,Title,,Description,,string,1024,A narrative description of this Title.,
Property & Equipment,Title,,TitleIssueDate,,date,,,
Property & Equipment,Title,,RegisterdProprietorId,FK,int32,,,
Property & Equipment,Title,,BeneficialInterests,,string,,,
Property & Equipment,Title,,TitleHoldingId,FK,int32,,,
Property & Equipment,Title,,TitleHolding,,string,,,
Property & Equipment,Title,,TitleStatusId,FK,int32,,The unique identifier of a Title Status.,
Property & Equipment,Title,,TitleChargesId,FK,int32,,,
Property & Equipment,Title,TitleHolding,TitleHoldingId,PK,int32,,,
Property & Equipment,Title,TitleHolding,LeaseId,FK,int32,,,
Property & Equipment,Title,TitleHolding,Freehold,,,,,
Property & Equipment,Title,TitleHolding,TitleId,FK,int32,,,
Property & Equipment,Title,TitleStatus,TitleStatusId,PK,int32,,The unique identifier of a Title Status.,
Property & Equipment,Title,TitleStatus,TitleId,FK,,,,
Property & Equipment,Title,TitleStatus,TitleStatusName,,string,128,The name of a Title Status.,
Property & Equipment,Title,TitleStatus,TitleStatusDescription,,string,512,The description of a Title Status.,
Property & Equipment,Title,TitleCharges,TitleChargesId,PK,int32,,,
Property & Equipment,Title,TitleCharges,TitleId,FK,int32,,,
Property & Equipment,Title,TitleCharges,Mortgages,,string,,,
Property & Equipment,Title,TitleCharges,LImitingInterests,,string,,,
Property & Equipment,Space,,SpaceId,PK,int32,,The unique identifier of a Room.,
Property & Equipment,Space,,PropertyId,FK,int32,,The unique identifier of a Property.,
Property & Equipment,Space,,RoomName,,string,128,The name of the Room.,
Property & Equipment,Space,,FloorId,FK,int32,,The unique identifier of a Floor.,
Property & Equipment,Space,,SpaceClassificationId,FK,int32,,The unique identifier of the Space Classification.,
Property & Equipment,Space,,SpaceGpsLongitudePosition,,decimal,7,The space GPS position expressed in longitude. Ex: GPS Coordinates (Ex= 39deg 58.589min) - seconds are converted to decimal format.,
Property & Equipment,Space,,SpaceGpsLatitudePosition,,decimal,7,The space GPS position expressed in latitude. Ex: GPS Coordinates (Ex= 39deg 58.589min) - seconds are converted to decimal format.,
Property & Equipment,Space,,SpaceHeight,,int32,,The height of the Space.,
Property & Equipment,Space,,SpaceWidth,,int32,,The width of the Space.,
Property & Equipment,Space,,SpaceDepth,,int32,,The depth of the Space.,
Property & Equipment,Space,,LengthWidthHeightUomId,FK,int32,,The unique identifier of a Unit Of Measure.,
Property & Equipment,Space,,SpaceArea,,int32,,The depth of the Space.,
Property & Equipment,Space,,AreaUomId,FK,int32,,The unique identifier of a Unit Of Measure.,
Property & Equipment,Space,,SecurityLevelId,FK,int32,,The unique identifier of the Security Level.,
Property & Equipment,Space,SpaceClassification,SpaceClassificationId,PK,int32,,The unique identifier of the Space Classification.,
Property & Equipment,Space,SpaceClassification,SpaceClassificationName,,string,128,The name of the Space Classification.,
Property & Equipment,Space,SpaceClassification,SpaceClassificationDescription,,string,512,The description of the Space Classification.,
Property & Equipment,Parking,,ParkingId,PK,,,,
Property & Equipment,Parking,,ParkingDescription,,string,,,
Property & Equipment,Parking,,Type,,string,,"Other, None, Roof-Top, Structure,Surface, Underground, Public, Private, Srteet",
Property & Equipment,Parking,,LocationId,FK,,,,
Property & Equipment,Parking,,ParkingCodition,,,,"Excellent: The item being studied is rated at between 81% and 100% of the maximum possible rating for all similar items in the sample. / Good	Good: The item being studied is rated at between 61% and 80% of the maximum possible rating for all similar items in the sample / Average: The item being studied is rated at between 41% and 60% of the maximum possible rating for all similar items in the sample. / Fair: The item being studied is rated at between 21% and 40% of the maximum possible rating for all similar items in the sample. / Poor: The item being studied is rated at between 1% and 20% of the maximum possible rating for all similar items in the sample.",
Property & Equipment,Parking,,ParkingRatio,,,,,
Property & Equipment,Parking,,CarParkingRights,,string,,Describes rights to car parking spaces.,
Property & Equipment,Parking,,BuildingId,FK,int32,,,
Property & Equipment,Information,,InformationId,PK,,,,
Property & Equipment,Information,,PropertyStorefrontDescription,,,,,
Property & Equipment,Information,,NumberOfBedrooms,,double,,,
Property & Equipment,Information,,NumberOfBathrooms,,double,,,
Property & Equipment,Information,,NumberOfRooms,,double,,,
Property & Equipment,Information,,VehicleStorage,,Boolian,,,
Property & Equipment,Information,,ParkingInformation,,string,,,
Property & Equipment,Information,,ParkingSpaces,,double,,,
Property & Equipment,Information,,RequestData,,string,,Information about what data is being requested by the Investment Manager.,
Property & Equipment,Information,,PropertyLandUsageInformation,,,,,
Property & Equipment,Information,,BuildingDescription,,string,,,
Property & Equipment,Information,,YearBuiltDate,,date,,"Although specified as a date, the day and month may be ignored. However, if a more specific build date is known and required by context, month and/or day of month may be included.",
Property & Equipment,Information,,RenovationDate,,date,,,
Property & Equipment,Information,,EffectiveAgeNumeric,,numeric,,,
Property & Equipment,Information,,Codition,,string,,The item being studied is rated at between 81% and 100% of the maximum possible rating for all similar items in the sample. Good: The item being studied is rated at between 61% and 80% of the maximum possible rating for all similar items in the sample.Average: The item being studied is rated at between 41% and 60% of the maximum possible rating for all similar items in the sample.Fair: The item being studied is rated at between 21% and 40% of the maximum possible rating for all similar items in the sample.Poor: The item being studied is rated at between 1% and 20% of the maximum possible rating for all similar items in the sample.,
Property & Equipment,Information,,SubFloorType,,string,,"A Building Material not otherwise classified.Asphalt Shingles: A type of composite roofing material manufactured in modular sizes and composed of a paper-based core sheet, asphaltic coating and a fine stone or synthetic weather surface coating.Brick: Modular unit typically made from clay material.Ceramic: A vitrius clay product often with a glazed surface finish.Carpet: A woven fiber product often used as a floor covering.Concrete CIP: Construction material typically composed of cement, aggregate and water. Cast In Place indicates material is delivered to the site and placed.Composition Roofing: A roofing assembly typically composed of layers of sheet material saturated with an asphaltic binder/sealer.Concrete Block: Modular product typically made from formed and cured cement and aggregate material.Concrete Tilt-Up: Pre-Cast Concrete product installed using Tilt-Up method.Fiberglass Shingle: A type of composite roofing material manufactured in modular sizes and composed of a fiberglass core sheet, asphaltic coating and a fine stone or synthetic weather surface coating.Glass product.Marble: An elemental stone material characterized by streaks of color embeded in the monolithic matrix.Rubber Membrane: A loose-laid roofing system generally composed of a continuous elastomeric roof membrane over various substrates and typically having a river stone ballast covering.Steel product.Stone: Non-specific stone-based materials.Tar & Gravel Roofing: A roofing assembly typically composed of layers of sheet material saturated with an asphaltic binder/sealer and having a crushed stone top layer.Vinyl Tile.Wood: Non-specific wood material.Wood Shake: A type of wood roofing material with one split face and one smooth face.",
Property & Equipment,Information,,FloorCovering,,string,,"A Building Material not otherwise classified.Asphalt Shingles: A type of composite roofing material manufactured in modular sizes and composed of a paper-based core sheet, asphaltic coating and a fine stone or synthetic weather surface coating.Brick: Modular unit typically made from clay material.Ceramic: A vitrius clay product often with a glazed surface finish.Carpet: A woven fiber product often used as a floor covering.Concrete CIP: Construction material typically composed of cement, aggregate and water. Cast In Place indicates material is delivered to the site and placed.Composition Roofing: A roofing assembly typically composed of layers of sheet material saturated with an asphaltic binder/sealer.Concrete Block: Modular product typically made from formed and cured cement and aggregate material.Concrete Tilt-Up: Pre-Cast Concrete product installed using Tilt-Up method.Fiberglass Shingle: A type of composite roofing material manufactured in modular sizes and composed of a fiberglass core sheet, asphaltic coating and a fine stone or synthetic weather surface coating.Glass product.Marble: An elemental stone material characterized by streaks of color embeded in the monolithic matrix.Rubber Membrane: A loose-laid roofing system generally composed of a continuous elastomeric roof membrane over various substrates and typically having a river stone ballast covering.Steel product.Stone: Non-specific stone-based materials.Tar & Gravel Roofing: A roofing assembly typically composed of layers of sheet material saturated with an asphaltic binder/sealer and having a crushed stone top layer.Vinyl Tile.Wood: Non-specific wood material.Wood Shake: A type of wood roofing material with one split face and one smooth face.",
Property & Equipment,Information,,ExteriorWalls,,string,," A Building Material not otherwise classified.Asphalt Shingles: A type of composite roofing material manufactured in modular sizes and composed of a paper-based core sheet, asphaltic coating and a fine stone or synthetic weather surface coating.Brick: Modular unit typically made from clay material.Ceramic: A vitrius clay product often with a glazed surface finish.Carpet: A woven fiber product often used as a floor covering.Concrete CIP: Construction material typically composed of cement, aggregate and water. Cast In Place indicates material is delivered to the site and placed.Composition Roofing: A roofing assembly typically composed of layers of sheet material saturated with an asphaltic binder/sealer.Concrete Block: Modular product typically made from formed and cured cement and aggregate material.Concrete Tilt-Up: Pre-Cast Concrete product installed using Tilt-Up method.Fiberglass Shingle: A type of composite roofing material manufactured in modular sizes and composed of a fiberglass core sheet, asphaltic coating and a fine stone or synthetic weather surface coating.Glass product.Marble: An elemental stone material characterized by streaks of color embeded in the monolithic matrix.Rubber Membrane: A loose-laid roofing system generally composed of a continuous elastomeric roof membrane over various substrates and typically having a river stone ballast covering.Steel product.Stone: Non-specific stone-based materials.Tar & Gravel Roofing: A roofing assembly typically composed of layers of sheet material saturated with an asphaltic binder/sealer and having a crushed stone top layer.Vinyl Tile.Wood: Non-specific wood material.Wood Shake: A type of wood roofing material with one split face and one smooth face.",
Property & Equipment,Information,,RoofType,,string,,"A type of roof shape or configuration not otherwise classified.Arched: The roof is rounded or a shallow barrel-shape.Flat: The roof is either dead-flat or sloped less than 1 inch vertically for each 12 inches horizontally.Gable: The roof consists of two sloping planes that meet at the ridge (peak). The planes are supported at their ends by triangular, upward extensions of walls known as gables.Hip: The roof has four pitched sides. The line where two slopes of a roof meet is called a hip.Mansard: The roof has a flat top and two slopes to all four sides; the lower one being steeper than the upper.Sawtooth: The roof form is a succession of vertical and sloped surfaces forming a shape like the tooth of a saw.Barrel Shell: The roof is highly arched or shaped like a half-barrel oriented horizontally.Folded Plate: The roof is a series of connected flat planes resembling a folded sheet of paper.Gambrel: The roof has a peaked top and two slopes on each of two sides; the lower one being steeper than the upper. End walls of the roof are vertical.Domes: The roof is curved on all sides similar to an upside down bowl.",
Property & Equipment,Information,,RoofCover,,string,,"A Building Material not otherwise classified.Asphalt Shingles: A type of composite roofing material manufactured in modular sizes and composed of a paper-based core sheet, asphaltic coating and a fine stone or synthetic weather surface coating.Brick: Modular unit typically made from clay material.Ceramic: A vitrius clay product often with a glazed surface finish.Carpet: A woven fiber product often used as a floor covering.Concrete CIP: Construction material typically composed of cement, aggregate and water. Cast In Place indicates material is delivered to the site and placed.Composition Roofing: A roofing assembly typically composed of layers of sheet material saturated with an asphaltic binder/sealer.Concrete Block: Modular product typically made from formed and cured cement and aggregate material.Concrete Tilt-Up: Pre-Cast Concrete product installed using Tilt-Up method.Fiberglass Shingle: A type of composite roofing material manufactured in modular sizes and composed of a fiberglass core sheet, asphaltic coating and a fine stone or synthetic weather surface coating.Glass product.Marble: An elemental stone material characterized by streaks of color embeded in the monolithic matrix.Rubber Membrane: A loose-laid roofing system generally composed of a continuous elastomeric roof membrane over various substrates and typically having a river stone ballast covering.Steel product.Stone: Non-specific stone-based materials.Tar & Gravel Roofing: A roofing assembly typically composed of layers of sheet material saturated with an asphaltic binder/sealer and having a crushed stone top layer.Vinyl Tile.Wood: Non-specific wood material.Wood Shake: A type of wood roofing material with one split face and one smooth face.",
Property & Equipment,Information,,PlumbingCondition,,string,,The item being studied is rated at between 81% and 100% of the maximum possible rating for all similar items in the sample. Good: The item being studied is rated at between 61% and 80% of the maximum possible rating for all similar items in the sample.Average: The item being studied is rated at between 41% and 60% of the maximum possible rating for all similar items in the sample.Fair: The item being studied is rated at between 21% and 40% of the maximum possible rating for all similar items in the sample.Poor: The item being studied is rated at between 1% and 20% of the maximum possible rating for all similar items in the sample.,
Property & Equipment,Information,,HeatingType,,string,,"Heating Type not otherwise classified.None: No Heating System is present.Gas: Heating System is fueled by Natural Gas, Propane, or similar volatile gas.Gravity: Heating System depends on natural convection (hot air rises and cool air falls) to condition a space.Hot Water: Heating System uses heated water distributed through piping and radiators to condition a space.Electric: Heating System uses electric resistance as heating source.Solar: Heating System uses solar thermal collectors to heat air or a fluid which is then used to condition a space.Space Heaters: Heating is provided by individual, room-sized or personal heaters. Typically these are electric resistance or gas fired.Steam: Heating System creates steam which is distributed through piping and radiators to condition a space.Radiant Heaters: Any type of heating system which uses a heated surface to deliver warmth directly to a cooler surface.",
Property & Equipment,Information,,CoolingType,,string,,"A Cooling Type that is not otherwise classified.Air Curtains: Property uses a stream of high-velocity temperature-controlled air which is directed downward across an opening to prevent the transfer of heat across the opening, and permit air-conditioning of a space with an open entrance.Central: Ambient air cooling for the property is provided by a central unit and a distribution system.Engineered Cooling: Property uses refrigeration and/or absorbtion chillers and distribution equipment designed to cool the interior.Evaporative Coolers: Property uses simple equipment that passes air over water to provide a cooling effect.None: Property does not have a system providing ambient air cooling.Package Units: Property uses one or more self-contained air conditioning units sized for a specific quantity of cooling. The number of units is relative to the space to be conditioned. Package units typically are located on the ground or on a roof directly adjacent to the conditioned space.Window Units: Property uses one or more self-contained air conditioning units mounted in window openings.",
Property & Equipment,Information,,ElectricalType,,string,,Excellent: The item being studied is rated at between 81% and 100% of the maximum possible rating for all similar items in the sample.Good: The item being studied is rated at between 61% and 80% of the maximum possible rating for all similar items in the sample.Average: The item being studied is rated at between 41% and 60% of the maximum possible rating for all similar items in the sample.Fair: The item being studied is rated at between 21% and 40% of the maximum possible rating for all similar items in the sample.Poor: The item being studied is rated at between 1% and 20% of the maximum possible rating for all similar items in the sample.,
Property & Equipment,Information,,FireSprinklerType,,string,,Wet-Pipe System.Combination Wet-Pipe and Dry-Pipe System.Combination Wet-Pipe and Deluge System.Combination Wet-Pipe and Preaction System.Combination Wet-Pipe and Early Suppression Fast Response.Dry-Pipe Systems,
Property & Equipment,Information,,BuildingHeightClass,,string,,"High Rise: A building with four or more stories above ground level, typically elevator-served.Low Rise: A building with fewer than four stories above ground level, may or may not be elevator-served.Single Story: A building having a single story above ground level.",
Property & Equipment,Information,,ConstructionQuality,,string,,Excellent: The item being studied is rated at between 81% and 100% of the maximum possible rating for all similar items in the sample. Good: The item being studied is rated at between 61% and 80% of the maximum possible rating for all similar items in the sample.Average: The item being studied is rated at between 41% and 60% of the maximum possible rating for all similar items in the sample.Fair: The item being studied is rated at between 21% and 40% of the maximum possible rating for all similar items in the sample.Poor: The item being studied is rated at between 1% and 20% of the maximum possible rating for all similar items in the sample.,
Property & Equipment,Information,,ConstructionClass,,string,,,
Property & Equipment,Information,,LastRefurbishmentDate,,date,,The year in which the last major refurbishment of the building was completed or the planned year of completion of the refurbishment.,
Property & Equipment,Information,,PlanningRestrictions,,string,,Category of restrictive planning against the site on which the property is located.,
Property & Equipment,Information,,ConstructionDate,,date,,Date on which construction of the property was completed. The date on which construction reached 'practical completion',
Property & Equipment,Information,,InspectionDate,,date,,Year of latest building inspection,
Property & Equipment,Information,,IsUnderConstructionIndicator,,boolean,,,
Property & Equipment,Information,,NumberOfSeparateBuildings,,double,,,
Property & Equipment,Information,,StructuralInformation,,double,,"Ceiling Height Measure.Column Spacing Width Measure.Column Spacing Depth Measure.First Floor Perimeter Measure.Floor Thickness Measure.Basement Size Measure.Typical Bay Dimension	",
Property & Equipment,Information,,ValueSourceType ,,string,,"Actual: The value is based on an observation, measurement or verified record.Estimated: The value is derived from indirect evidence, abstraction or extrapolation.",
Property & Equipment,Information,,NumberOfSublevels,,double,,,
Property & Equipment,Information,,NumberOfStories,,double,,,
Property & Equipment,Information,,Header,,string,,,
Property & Equipment,LicenceToAlter,,LicenceToAlterId,PK,int32,,,
Property & Equipment,LicenceToAlter,,PropertyAlterationId,,int32,,,
Property & Equipment,LicenceToAlter,,PropertyId,FK,int32,,,
Property & Equipment,LicenceToAlter,,ContractId,FK,int32,,,
Property & Equipment,LicenceToAlter,,PropertyAterationDescription,,string,,,
Property & Equipment,LicenceToAlter,,PropertyAlterationStartTimestamp,,datetime,,,
Property & Equipment,LicenceToAlter,,PropertyAlterationEndTimestamp,,datetime,,,
Property & Equipment,LicenceToAlter,,PropertyAlterationEstimatedCost,,datetime,,,
Property & Equipment,LicenceToAlter,,PropertyAlterationNotes,,string,,,
Property & Equipment,LicenceToAlter,,AlterationsTypeId,FK,int32,,,
Property & Equipment,LicenceToAlter,,LocationId,FK,int32,,,
Property & Equipment,Utility,,UtilityID,PK,int32,,The unique identifier of the utility.,
Property & Equipment,Utility,,PropertyId,FK,int32,,The unique identifier of a Property.,
Property & Equipment,Utility,,TransactionId,FK,int32,,,
Property & Equipment,Utility,,UtilityName,,string,,,
Property & Equipment,Utility,,UtilityType,,string,,,
Property & Equipment,Utility,,UtilityAddress,,string,,,
Property & Equipment,Utility,,UtilityURL,,string,,,
Property & Equipment,RegisteredProprietor,,RegisteredProprietorId,PK,int32,,The unique identifier of the registered proproetor.,
Property & Equipment,RegisteredProprietor,,PropertyId,FK,int32,,The unique identifier of a Property.,
Property & Equipment,RegisteredProprietor,,TransactionId,FK,int32,,,
Property & Equipment,RegisteredProprietor,,DirectorFirstName,,string,,,
Property & Equipment,RegisteredProprietor,,DirectorLastName,,string,,,
Property & Equipment,RegisteredProprietor,,CompanyId,FK,string,,,
Property & Equipment,RegisteredProprietor,,CompanyName,,string,,,
Property & Equipment,RegisteredProprietor,,AddrForService,,string,,,
Property & Equipment,RegisteredProprietor,,CompayURL,,string,,,
